72,56,65,72,71,79,78,84,77
71,56,65,72,71,78,78,85,77
71,55,65,72,71,78,78,84,78
72,56,65,72,71,78,78,85,77
72,56,65,73,71,79,78,84,77
71,56,65,72,72,79,78,84,77
72,55,65,72,71,78,78,85,77
71,55,65,72,71,78,78,85,77
72,56,65,72,71,78,78,85,77
72,56,65,73,72,79,78,84,77
71,55,65,72,71,78,78,85,78
72,56,65,72,71,78,78,85,77
71,56,65,73,71,79,78,84,78
72,56,65,72,71,78,78,85,77
72,56,65,72,71,79,78,85,77
72,56,65,72,72,79,78,84,77
71,55,65,72,71,78,78,85,77
72,56,65,72,71,79,78,85,77
72,56,65,73,71,79,78,84,77
71,56,65,72,71,78,78,85,77
72,56,65,73,71,79,78,0,77
71,56,65,72,72,79,78,84,77
72,56,65,72,71,78,78,85,77
72,56,65,72,71,79,78,85,77
72,56,65,72,71,79,78,84,77
71,55,65,72,71,78,78,84,78
72,56,65,72,71,78,78,85,77
71,56,65,72,72,79,78,84,77
72,56,65,73,71,79,78,85,77
72,56,65,72,72,79,78,84,77
71,55,65,72,71,78,78,85,77
72,56,65,72,71,78,78,85,76
72,56,65,73,71,79,78,84,77
71,55,65,72,71,78,78,84,78
72,56,65,72,71,78,78,85,77
72,56,65,73,71,79,78,84,78
72,55,65,72,71,78,78,85,77
72,56,65,72,71,79,78,85,77
72,56,65,72,72,79,78,84,77
71,55,65,72,71,78,78,85,77
72,56,65,72,71,78,78,85,77
71,56,65,72,71,78,78,85,77
72,56,65,72,71,78,78,85,77
72,56,65,73,71,79,78,84,78
72,56,65,72,71,78,78,85,77
72,56,65,72,71,79,78,85,77
72,56,65,72,72,79,78,84,77
72,56,65,72,71,78,78,85,77
71,55,65,72,71,78,78,84,78
72,56,65,73,71,79,78,84,77
71,0,65,72,71,79,78,85,78
72,56,65,72,71,79,78,85,77
72,56,65,72,71,79,78,84,77
71,55,65,72,71,78,78,85,77
72,56,65,73,71,79,78,84,77
71,55,65,72,71,78,78,85,78
72,56,65,72,71,78,78,85,77
72,56,65,72,71,79,78,85,77
72,56,65,72,72,79,78,84,77
71,55,65,72,71,78,78,85,77
72,56,65,72,71,79,78,85,77
72,56,65,73,71,79,78,84,77
71,56,65,72,71,78,78,85,77
72,56,65,72,71,78,78,85,77
72,56,65,73,71,79,78,84,78
71,56,65,72,72,79,78,84,78
72,55,65,72,71,78,78,85,77
72,56,65,72,71,79,78,85,77
72,56,65,72,72,79,78,84,77
71,55,65,72,71,78,78,85,77
72,56,65,72,71,78,78,85,77
72,56,65,73,71,79,78,84,77
71,56,65,72,71,78,78,85,78
72,56,65,72,71,78,78,85,77
72,56,65,73,71,79,78,0,77
71,56,65,72,72,79,78,84,77
72,56,65,0,72,79,78,84,77
72,56,65,72,71,78,78,85,77
72,56,65,72,71,79,78,84,77
72,56,65,72,71,78,78,85,77
